Topic:,Problem: ,Done [yes or no] ,,,
,,,,,
Array,Reverse the array,yes,,,
Array,Find the maximum and minimum element in an array,yes,,,
Array,"Find the ""Kth"" max and min element of an array ",yes,,,
Array,"Given an array which consists of only 0, 1 and 2. Sort the array without using any sorting algo",yes,,,
Array,Move all the negative elements to one side of the array ,yes,,,
Array,Find the Union and Intersection of the two sorted arrays.,yes,,,
Array,Write a program to cyclically rotate an array by one.,yes,,,
Array,find Largest sum contiguous Subarray [V. IMP],yes,,,
Array,Minimise the maximum difference between heights [V.IMP],<->,,,
Array,Minimum no. of Jumps to reach end of an array,yes,max reach and steps,,
Array,find duplicate in an array of N+1 Integers,yes,,,
Array,Merge 2 sorted arrays without using Extra space.,yes,take i=n-1 of 1st array and j=0 of 2nd array and check while a1[i] > a2[j] then swap em,,
Array,Kadane's Algo [V.V.V.V.V IMP],yes,,,
Array,Merge Intervals,yes,,,
Array,Next Permutation,yes,,,
Array,Count Inversion,yes,merge sort,,
Array,Best time to buy and Sell stock,yes,"min price value, max proft",,
Array,find all pairs on integer array whose sum is equal to given number,yes,unordered map,,
Array,find common elements In 3 sorted arrays,yes,unordered map,,
Array,Rearrange the array in alternating positive and negative items with O(1) extra space,yes,,,
Array,Find if there is any subarray with sum equal to 0,yes,solved using sets by adding sums and checking if the next sum is already present in array then there is a 0 sum,,
Array,Largest subarray with 0 sum,yes,"len = max(len, i- u[lastsum]) u[0] = -1",,
Array,Find factorial of a large number,<->,,,
Array,take maxproduct and min product,yes,maxproduct and minproduct ,,
Array,Find longest coinsecutive subsequence,yes,,,
Array,"Given an array of size n and a number k, fin all elements that appear more than "" n/k "" times.",<->,,,
Array,Maximum profit by buying and selling a share atmost twice,yes,"take ma and iterate from right, then take mi and iteratre from left",,
Array,Find whether an array is a subset of another array,yes,,,
Array,Find the triplet that sum to a given value,yes,sort then travese from left to right,,
Array,Trapping Rain water problem,yes,take left and right maximim,,
Array,Chocolate Distribution problem,yes,sort and then find min diff of arr[i] and arr[i+m-1],,
Array,Smallest Subarray with sum greater than a given value,yes,"cur_sum , start and end",,
Array,Three way partitioning of an array around a given value,yes,if smaller than a then swap with a[l] and similarly for white,,
Array,Minimum swaps required bring elements less equal K together,yes,sliding window problem,,
Array,Minimum no. of operations required to make an array palindrome,yes,,,
Array,Median of 2 sorted arrays of equal size,yes,,,
Array,Median of 2 sorted arrays of different size,<->,,,
,,<->,,,
,,<->,,,
Matrix,Spiral traversal on a Matrix,yes,check in for condition both up<=bottom and left<=right,,
Matrix,Search an element in a matriix,yes,,,
Matrix,Find median in a row wise sorted matrix,yes,store in vectot and then sort and find median of vector,,
Matrix,Find row with maximum no. of 1's,yes,traverse with column first,,
Matrix,Print elements in sorted order using row-column wise sorted matrix,yes,,,
Matrix,Maximum size rectangle,<->,,,
Matrix,Find a specific pair in matrix,<->,,,
Matrix,Rotate matrix by 90 degrees,<->,,,
Matrix,Kth smallest element in a row-cpumn wise sorted matrix,yes,store in vector and sort,,
Matrix,Common elements in all rows of a given matrix,yes,,,
,,,,,
,,,,,
String,Reverse a String,yes,,,
String,Check whether a String is Palindrome or not,yes,,,
String,Find Duplicate characters in a string,yes,unordered map,,
String,Why strings are immutable in Java?,<->,,,
String,Write a Code to check whether one string is a rotation of another,yes,,,
String,Write a Program to check whether a string is a valid shuffle of two strings or not,<->,,,
String,Count and Say problem,<->,,,
String,Write a program to find the longest Palindrome in a string.[ Longest palindromic Substring],<->,,,
String,Find Longest Recurring Subsequence in String,yes,created a 2d dp array and ran 2 for loops,,
String,Print all Subsequences of a string.,<->,,,
String,Print all the permutations of the given string,yes,use stl : next_permutation,,
String,Split the Binary string into two substring with equal 0’s and 1’s,<->,,,
String,Word Wrap Problem [VERY IMP].,<->,,,
String,EDIT Distance [Very Imp],yes,created a 2d dp array and ran 2 for loops,,
String,Find next greater number with same set of digits. [Very Very IMP],yes,use stl : next_permutation,,
String,Balanced Parenthesis problem.[Imp],yes,used hash map int u[3],,
String,Word break Problem[ Very Imp],yes,stored dict elemnts in set then checked str in for loop,,
String,Rabin Karp Algo,<->,,,
String,KMP Algo,<->,,,
String,Convert a Sentence into its equivalent mobile numeric keypad sequence.,yes,store corresponding value of alphabets in a string array,,
String,Minimum number of bracket reversals needed to make an expression balanced.,yes,store the position of [ in array then if count <0 total+=v[i]-i,,
String,Count All Palindromic Subsequence in a given String.,<->,,,
String,Count of number of given string in 2D character array,<->,,,
String,Search a Word in a 2D Grid of characters.,<->,,,
String,Boyer Moore Algorithm for Pattern Searching.,<->,,,
String,Converting Roman Numerals to Decimal,yes,while string length is not equal to 0 solve by making if statements and use substr and not s[i] + s[i+1],,
String,Longest Common Prefix,yes,solved using 2 for loops or can do while this prefix is not at the starting of another decrement b=its length by 1 ,,
String,Number of flips to make binary string alternate,yes,take 2 possibille array 01010.. and 1010... and count the difference between original and duplicate array,,
String,Find the first repeated word in string.,yes,use unordered map and set the most frequent string to 0,,
String,Minimum number of swaps for bracket balancing.,yes,,,
String,Find the longest common subsequence between two strings.,<->,,,
String,Program to generate all possible valid IP addresses from given  string.,<->,,,
String,Write a program tofind the smallest window that contains all characters of string itself.,<->,,,
String,Rearrange characters in a string such that no two adjacent are same,<->,,,
String,Minimum characters to be added at front to make string palindrome,<->,,,
String,"Given a sequence of words, print all anagrams together",yes,"zero sum approach, create one unordered map and bool visited and check every element with element +1 if it is an anagram",,
String,Find the smallest window in a string containing all characters of another string,<->,,,
String,Recursively remove all adjacent duplicates,<->,,,
String,String matching where one string contains wildcard characters,<->,,,
String,Function to find Number of customers who could not get a computer,<->,,,
String,Transform One String to Another using Minimum Number of Given Operation,<->,,,
String,Check if two given strings are isomorphic to each other,yes,map str1 and make str2 from that map  and check if they are equal  and similarly for str2 and check if str1 ,,
String,Recursively print all sentences that can be formed from list of word lists,<->,,,
,,,,,
,,,,,
Searching & Sorting,Find first and last positions of an element in a sorted array,<->,,,
Searching & Sorting,Find a Fixed Point (Value equal to index) in a given array,yes,easy,,
Searching & Sorting,Search in a rotated sorted array,yes,easy,,
Searching & Sorting,square root of an integer,yes,i<=sqrt(n),,
Searching & Sorting,Maximum and minimum of an array using minimum number of comparisons,yes,easy,,
Searching & Sorting,Optimum location of point to minimize total distance,<->,,,
Searching & Sorting,Find the repeating and the missing,yes,unorderd map ki takat dhum machaye,,
Searching & Sorting,find majority element,yes,unorderd map ki takat dhum machaye,,
Searching & Sorting,Searching in an array where adjacent differ by at most k,song,,,
Searching & Sorting,find a pair with a given difference,yes, unorderd map ki takat dhum machaye stored element in map then checked if arr[i] + key is there in map or not,,
Searching & Sorting,find four elements that sum to a given value,<->,,,
Searching & Sorting,maximum sum such that no 2 elements are adjacent,<->,,,
Searching & Sorting,Count triplet with sum smaller than a given value,yes,"triplet way for loop , l, r and a while loop and trick is if a[i]+a[l]+a[r]<sum then this means there are r-l smaller than sum",,
Searching & Sorting,merge 2 sorted arrays,yes,,,
